"","Y","D","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"1",0,0,47,6765,8,2,0,0,0,0,1
"2",1015,0,36,28452,16,1,0,0,0,0,1
"3",-2000,0,37,3300,12,6,0,0,1,0,0
"4",15000,0,58,52590,16,2,1,1,0,0,1
"5",0,0,32,21804,11,1,0,0,0,0,1
"6",27800,0,34,34680,16,1,0,0,0,1,1
"7",2913,0,28,21600,12,3,1,1,0,1,1
"8",-650,0,54,4686,11,3,0,0,0,0,1
"9",37279,0,43,65820,14,2,1,1,1,1,1
"10",1900,0,32,37260,18,3,1,0,0,0,1
"11",783,0,52,15306,12,3,1,0,0,0,1
"12",-10000,0,30,58413,18,4,1,1,0,0,0
"13",-740,0,63,21630,15,2,0,0,0,0,1
"14",0,0,38,30600,18,1,1,0,0,0,0
"15",-4700,0,32,33414,13,4,1,1,0,0,0
"16",-1000,0,29,14580,12,3,0,0,0,0,0
"17",-16901,0,40,57477,17,4,1,1,1,0,1
"18",2000,0,30,46008,10,4,1,0,0,0,1
"19",0,0,44,3825,12,1,0,0,0,0,0
"20",0,0,57,5220,18,1,0,0,1,0,0
"21",-800,0,42,9120,10,5,0,0,0,0,1
"22",52900,0,41,69693,16,4,1,1,0,1,1
"23",-9940,0,39,52110,16,1,0,0,1,0,0
"24",0,0,53,30000,12,3,1,0,0,0,1
"25",2000,0,64,26826,12,1,0,0,0,0,1
"26",0,0,37,10524,14,3,0,0,0,0,0
"27",0,0,62,33228,12,2,1,1,0,0,0
"28",-2238,0,55,60528,12,2,1,0,0,0,1
"29",-2797,0,39,13512,12,3,1,1,1,0,1
"30",97664,0,58,44640,12,1,0,0,0,1,1
"31",-500,0,43,14280,4,4,1,0,0,0,0
"32",-4700,0,37,28134,13,3,1,0,0,0,0
"33",249,0,31,14931,16,1,0,0,0,0,1
"34",400,0,25,26535,14,2,1,0,0,0,0
"35",-3000,0,39,48360,13,4,1,1,0,0,1
"36",5000,0,41,31635,13,2,0,0,0,0,1
"37",24654,0,52,40041,14,3,0,0,0,0,1
"38",-5000,0,43,22410,12,1,0,0,1,0,0
"39",700,0,37,27072,9,5,1,1,0,0,0
"40",0,0,47,21420,13,1,0,0,0,0,1
"41",3550,0,57,34410,15,3,1,1,0,0,1
"42",-3900,0,36,23700,12,4,1,1,0,0,1
"43",-7350,0,30,19950,14,3,1,0,0,0,0
"44",-2450,0,29,23274,12,3,0,0,0,0,0
"45",41800,0,54,20019,13,3,1,0,0,1,1
"46",16597,0,51,85980,18,2,1,0,0,1,1
"47",4883,0,44,26472,12,4,1,0,0,0,1
"48",8300,0,61,37911,12,5,1,1,0,0,1
"49",-550,0,30,15822,15,4,1,0,0,0,1
"50",11730,0,48,77913,14,2,1,1,1,0,1
"51",90550,0,39,159696,16,2,1,1,0,1,1
"52",-5500,0,36,25200,12,4,0,0,0,0,0
"53",9918,0,39,23046,14,1,0,0,0,1,1
"54",-120,0,26,15450,12,3,0,0,0,0,1
"55",2050,0,37,25920,18,1,0,0,0,0,0
"56",-3900,0,37,13839,16,1,0,0,0,0,1
"57",-1002,0,32,10164,12,5,0,0,0,0,1
"58",-3600,0,30,27624,12,1,0,0,1,0,1
"59",-12465,0,50,41217,7,4,1,1,0,0,1
"60",-6994,0,45,35565,12,3,0,0,0,0,0
"61",-10275,0,30,57000,14,2,1,1,0,0,1
"62",5000,0,41,54852,12,5,1,1,1,0,1
"63",-19840,0,31,25002,12,4,1,1,0,0,0
"64",1384,0,30,46398,16,4,1,1,0,0,1
"65",0,0,46,18000,14,2,0,0,0,1,1
"66",20700,0,38,33576,10,4,1,0,0,0,1
"67",2250,0,25,3150,16,1,0,0,0,0,0
"68",59498,0,46,64203,12,5,1,1,1,0,0
"69",10,0,29,16194,12,3,0,0,0,0,1
"70",1400,0,58,14400,4,5,1,0,0,0,1
"71",10600,0,46,41622,11,5,1,0,0,1,1
"72",-1068,0,42,60384,12,4,1,1,0,0,1
"73",41302,0,63,46122,13,2,1,0,0,0,1
"74",10055,0,34,41757,12,4,1,0,0,1,1
"75",-100,0,40,58320,12,3,1,1,0,0,1
