"","Y","D","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"1",37279,0,43,65820,14,2,1,1,1,1,1
"2",-10000,0,30,58413,18,4,1,1,0,0,0
"3",-16901,0,40,57477,17,4,1,1,1,0,1
"4",52900,0,41,69693,16,4,1,1,0,1,1
"5",-2238,0,55,60528,12,2,1,0,0,0,1
"6",16597,0,51,85980,18,2,1,0,0,1,1
"7",11730,0,48,77913,14,2,1,1,1,0,1
"8",90550,0,39,159696,16,2,1,1,0,1,1
"9",-10275,0,30,57000,14,2,1,1,0,0,1
"10",5000,0,41,54852,12,5,1,1,1,0,1
"11",59498,0,46,64203,12,5,1,1,1,0,0
"12",-1068,0,42,60384,12,4,1,1,0,0,1
"13",-100,0,40,58320,12,3,1,1,0,0,1
"14",62800,0,57,61500,13,3,1,0,0,1,1
"15",24999,0,49,63396,16,3,1,0,0,0,1
"16",11700,0,38,77124,17,1,0,0,0,1,1
"17",26600,0,38,80550,18,2,1,1,0,1,1
"18",44,0,46,72099,16,2,1,0,0,0,1
"19",90930,0,36,93648,18,2,1,1,0,1,0
"20",1000,0,44,65400,16,4,1,1,1,0,0
"21",41549,0,39,84111,18,1,0,0,1,1,1
"22",26564,0,45,70035,10,2,0,0,0,0,0
"23",29715,0,35,74178,14,4,1,0,0,0,1
"24",60300,0,38,110181,12,5,1,1,0,1,0
"25",300,0,44,72975,10,3,1,1,1,0,1
"26",1300,0,35,55374,12,3,1,1,0,1,1
"27",-2000,0,37,69120,16,3,1,1,0,0,0
"28",454,0,46,80862,17,5,1,1,1,0,1
"29",8400,0,38,78396,16,4,1,1,0,1,1
"30",28999,0,42,55110,12,4,1,1,0,1,1
"31",4210,0,42,57180,18,4,1,1,0,0,1
"32",1258,0,34,60615,14,4,1,1,0,1,1
"33",195000,0,44,128700,17,4,1,1,1,1,1
"34",59061,0,63,71184,12,2,1,1,0,1,1
"35",-350,0,31,59544,16,4,1,1,1,0,1
"36",62300,0,35,63525,18,1,0,0,0,1,0
"37",4700,0,36,56118,16,1,0,0,1,1,1
"38",86500,0,35,102171,18,4,1,0,1,1,1
"39",-13300,0,38,62703,12,5,1,1,0,0,1
"40",1875,0,29,55845,12,2,1,1,0,0,1
"41",-32887,0,35,57156,12,4,1,1,0,0,1
"42",2550,0,36,77940,15,4,1,1,0,0,1
"43",39000,0,62,58272,11,1,0,0,1,0,1
"44",215750,0,41,66018,16,3,0,0,0,0,1
"45",469400,0,61,172092,12,2,1,0,0,1,1
"46",1006499,0,40,82251,18,5,1,0,0,0,1
"47",20840,0,48,91230,12,3,1,1,1,1,1
"48",43399,0,55,76077,12,3,1,1,1,1,1
"49",184500,0,36,118401,16,4,1,0,0,1,1
"50",20600,0,61,68220,12,2,1,1,0,1,1
"51",300,0,36,57624,12,1,0,0,0,0,1
"52",1600,0,27,74970,12,5,1,0,0,0,1
"53",-7100,0,31,58122,16,2,1,1,1,0,0
"54",-14551,0,36,104343,18,3,1,1,1,0,0
"55",57500,0,35,81075,14,3,1,0,0,1,1
"56",-16700,0,35,65010,14,4,1,1,0,0,0
"57",28000,0,53,108258,16,3,1,1,0,1,1
"58",7700,0,52,73110,16,2,1,1,1,1,1
"59",93501,0,48,79053,12,2,1,0,0,1,1
"60",120000,0,40,124932,17,4,1,1,0,1,1
"61",48800,0,26,86820,18,1,0,0,0,1,0
